Step,Name,Mass,Density,Temperature,Pressure,Volume,Crystallized_frac,y_bottom,y_top
16,System,104.62,2.56,1050,3,40.8671875,0.224220623501199,0,0
16,clinopyroxene,19.59,3.24186830015314,1050,3,6.04281179438246,0.224220623501199,85.1076165591192,99.91279031315
16,spinel,0.16,4.495,1050,3,0.03559510567297,0.224220623501199,99.91279031315,100
17,Liquid,69.47,2.32,1040,3,29.9439655172414,0.207434052757794,0,73.5132179742947
17,olivine,13.68,3.27,1040,3,4.18348623853211,0.207434052757794,73.5132179742947,83.7837860314411
17,Total solids,1.73,3.29,1040,3,0.525835866261398,0.207434052757794,0,0
17,System,104.62,2.57,1040,3,40.7081712062257,0.207434052757794,0,0
17,clinopyroxene,21.28,3.24238251879699,1040,3,6.563075108083,0.207434052757794,83.7837860314411,99.896306957381
17,spinel,0.19,4.49842105263158,1040,3,0.0422370422370422,0.207434052757794,99.896306957381,100
18,Liquid,67.88,2.32,1030,3,29.2586206896552,0.191846522781775,0,72.2171490720882
18,olivine,13.68,3.27,1030,3,4.18348623853211,0.191846522781775,72.2171490720882,82.5429758611795
18,Total solids,1.6,3.3,1030,3,0.484848484848485,0.191846522781775,0,0
18,System,104.62,2.58,1030,3,40.5503875968992,0.191846522781775,0,0
18,clinopyroxene,22.83,3.25136662286465,1030,3,7.02166278002983,0.191846522781775,82.5429758611795,99.8740890772797
18,spinel,0.23,4.50869565217391,1030,3,0.0510125361620058,0.191846522781775,99.8740890772797,100
19,Liquid,66.4,2.31,1020,3,28.7445887445887,0.177458033573141,0,71.064954029797
19,olivine,13.68,3.27,1020,3,4.18348623853211,0.177458033573141,71.064954029797,81.4077444543614
19,Total solids,1.48,3.31,1020,3,0.447129909365559,0.177458033573141,0,0
19,System,104.62,2.59,1020,3,40.3938223938224,0.177458033573141,0,0
19,clinopyroxene,24.26,3.25178070898599,1020,3,7.46052768348118,0.177458033573141,81.4077444543614,99.8523310711877
19,spinel,0.27,4.52037037037037,1020,3,0.059729619008603,0.177458033573141,99.8523310711877,100
20,Liquid,65.03,2.3,1010,3,28.2739130434783,0.165467625899281,0,69.9866213467315
20,olivine,13.68,3.27,1010,3,4.18348623853211,0.165467625899281,69.9866213467315,80.3420350751098
20,Total solids,1.38,3.32,1010,3,0.41566265060241,0.165467625899281,0,0
20,System,104.62,2.59,1010,3,40.3938223938224,0.165467625899281,0,0
20,clinopyroxene,25.59,3.2520789370848,1010,3,7.86881268722806,0.165467625899281,80.3420350751098,99.8197640029214
20,spinel,0.33,4.53212121212121,1010,3,0.07281358652046,0.165467625899281,99.8197640029214,100
21,Liquid,63.75,2.3,1000,3,27.7173913043478,0.15347721822542,0,68.9628529618342
21,olivine,13.68,3.28,1000,3,4.17073170731707,0.15347721822542,68.9628529618342,79.339931898186
21,Total solids,1.28,3.34,1000,3,0.383233532934132,0.15347721822542,0,0
21,System,104.62,2.6,1000,3,40.2384615384615,0.15347721822542,0,0
21,clinopyroxene,26.82,3.26183445190157,1000,3,8.22236701325067,0.15347721822542,79.339931898186,99.7977694019663
21,spinel,0.37,4.55216216216216,1000,3,0.081280056996972,0.15347721822542,99.7977694019663,100
22,Liquid,62.56,2.29,990,3,27.3187772925764,0.143884892086331,0,68.0332737492632
22,olivine,13.68,3.28,990,3,4.17073170731707,0.143884892086331,68.0332737492632,78.4198488488648
22,Total solids,1.2,3.35,990,3,0.358208955223881,0.143884892086331,0,0
22,System,104.63,2.61,990,3,40.088122605364,0.143884892086331,0,0
22,clinopyroxene,27.96,3.26203862660944,990,3,8.57132707501431,0.143884892086331,78.4198488488648,99.7654396505212
22,spinel,0.43,4.5653488372093,990,3,0.0941877642504203,0.143884892086331,99.7654396505212,100
23,Liquid,61.44,2.29,980,3,26.8296943231441,0.134292565947242,0,67.0685398177796
23,olivine,13.68,3.28,980,3,4.17073170731707,0.134292565947242,67.0685398177796,77.4944836325838
23,Total solids,1.12,3.37,980,3,0.332344213649852,0.134292565947242,0,0
23,System,104.63,2.62,980,3,39.9351145038168,0.134292565947242,0,0
23,clinopyroxene,29.02,3.26219159200551,980,3,8.89586009329367,0.134292565947242,77.4944836325838,99.732245259476
23,spinel,0.49,4.57469387755102,980,3,0.107110992148465,0.134292565947242,99.732245259476,100
24,Liquid,60.39,2.29,970,3,26.3711790393013,0.12589928057554,0,66.2035514332356
24,olivine,13.68,3.28,970,3,4.17073170731707,0.12589928057554,66.2035514332356,76.6739688039604
24,Total solids,1.05,3.39,970,3,0.309734513274336,0.12589928057554,0,0
24,System,104.63,2.62,970,3,39.9351145038168,0.12589928057554,0,0
24,clinopyroxene,30,3.27163333333333,970,3,9.16973173440381,0.12589928057554,76.6739688039604,99.6941305344182
24,spinel,0.56,4.59625,970,3,0.121838455262442,0.12589928057554,99.6941305344182,100
25,Liquid,59.42,2.28,960,3,26.0614035087719,0.118705035971223,0,65.4579124657224
25,olivine,13.68,3.28,960,3,4.17073170731707,0.118705035971223,65.4579124657224,75.9334569207124
25,Total solids,0.99,3.41,960,3,0.290322580645161,0.118705035971223,0,0
25,System,104.63,2.63,960,3,39.7832699619772,0.118705035971223,0,0
25,clinopyroxene,30.91,3.27176641863475,960,3,9.44749595324052,0.118705035971223,75.9334569207124,99.6625459131504
25,spinel,0.62,4.61467741935484,960,3,0.134353919821048,0.118705035971223,99.6625459131504,100
26,Liquid,58.5,2.28,950,3,25.6578947368421,0.11031175059952,0,64.6520356588442
26,olivine,13.68,3.28,950,3,4.17073170731707,0.11031175059952,64.6520356588442,75.1613271588109
26,Total solids,0.92,3.43,950,3,0.268221574344023,0.11031175059952,0,0
26,System,104.64,2.64,950,3,39.6363636363636,0.11031175059952,0,0
26,clinopyroxene,31.75,3.27185196850394,950,3,9.7039842589571,0.11031175059952,75.1613271588109,99.6131515496133
26,spinel,0.71,4.62464788732394,950,3,0.153525201766408,0.11031175059952,99.6131515496133,100
27,Liquid,57.35,2.27,940,3,25.2643171806167,0.139088729016787,0,63.7469718391891
27,olivine,13.68,3.28,940,3,4.17073170731707,0.139088729016787,63.7469718391891,74.270569797306
27,Total solids,1.16,3.17,940,3,0.365930599369085,0.139088729016787,0,0
27,System,104.64,2.64,940,3,39.6363636363636,0.139088729016787,0,0
27,clinopyroxene,32.41,3.28142548596112,940,3,9.87680510761535,0.139088729016787,74.270569797306,99.1917427130485
27,spinel,0.8,4.64625,940,3,0.172181867097121,0.139088729016787,99.1917427130485,99.6261923185767
27,feldspar,0.4,2.7,940,3,0.148148148148148,0.139088729016787,99.6261923185767,100
28,Liquid,55.81,2.26,930,3,24.6946902654867,0.185851318944844,0,62.4151564859672
28,olivine,13.68,3.29,930,3,4.1580547112462,0.185851318944844,62.4151564859672,72.9245264229677
